,station,latitude,longitude
58,72,40.76727216,-73.99392888
57,79,40.71911552,-74.00666661
190,82,40.71117416,-74.00016545
39,83,40.68382604,-73.97632328
248,116,40.74177603,-74.00149746
1235,119,40.69608941,-73.97803415
1305,120,40.68676793,-73.95928168
424,127,40.73172428,-74.00674436
376,128,40.72710258,-74.00297088
1398,137,40.761628,-73.972924
100,143,40.69239502,-73.99337909
3173,144,40.69839895,-73.98068914
128,146,40.71625008,-74.0091059
1007,147,40.71542197,-74.01121978
199,150,40.7208736,-73.98085795
29,151,40.72210379,-73.99724901
422,152,40.71473993,-74.00910627
1361,153,40.75206231,-73.9816324
99,157,40.69089272,-73.99612349
322509,160,40.748158,-73.978462
215,161,40.72917025,-73.99810231
474,164,40.75323098,-73.97032517
231,167,40.7489006,-73.97604882
164,168,40.73971301,-73.99456405
392,173,40.76068327,-73.98452729
855,174,40.7381765,-73.97738662
1364,195,40.70905623,-74.01043382
324,212,40.74334935,-74.00681753
506,216,40.70037867,-73.99548059
137,217,40.70277159,-73.99383605
11547,218,40.69028437,-73.98707105
26,223,40.73781509,-73.99994661
858,224,40.71146364,-74.00552427
204,225,40.74195138,-74.00803013
9990,228,40.7546011,-73.97187886
83,229,40.72743423,-73.99379025
1550,232,40.69597683,-73.99014892
93,233,40.69475701,-73.99052739
74,236,40.7284186,-73.98713956
829,237,40.73047309,-73.98672378
136,238,40.7361967,-74.00859207
160,239,40.69196566,-73.9813018
15,241,40.68981035,-73.97493121
986,242,40.697787,-73.973736
485,243,40.688226,-73.979382
111,244,40.69196035,-73.96536851
3359,245,40.69327018,-73.97703874
60,247,40.73535398,-74.00483091
15990,248,40.72185379,-74.00771779
56,249,40.71870987,-74.0090009
880,250,40.72456089,-73.99565293
135,251,40.72317958,-73.99480012
147,252,40.73226398,-73.99852205
457,253,40.73543934,-73.99453948
635,254,40.73532427,-73.99800419
1424,255,40.646768,-74.01651
19,257,40.71939226,-74.00247214
435,258,40.68940747,-73.96885458
132,259,40.70122128,-74.01234218
708,260,40.70365182,-74.01167797
689,261,40.69474881,-73.98362464
496,262,40.6917823,-73.9737299
6023,263,40.71759082,-73.9962244
503,264,40.70706456,-74.00731853
11,265,40.72229346,-73.99147535
933,266,40.72368361,-73.97574813
1844,267,40.75097711,-73.98765428
375,268,40.71910537,-73.99973337
127,270,40.69308257,-73.97178913
41,271,40.68522672,-73.97800148
1015,274,40.68691865,-73.976682
356,275,40.68650065,-73.96563307
767,276,40.71748752,-74.0104554
162,278,40.69766564,-73.98476437
2999,279,40.707873,-74.00167
297,280,40.73331967,-73.99510132
112,281,40.7643971,-73.97371465
360,282,40.70764494,-73.96841526
2955,284,40.73901691,-74.00263761
6,285,40.73454567,-73.99074142
3051,289,40.6845683,-73.95881081
306,290,40.76020258,-73.96478473
807,291,40.713126,-73.984844
44,293,40.73020661,-73.99102628
134,294,40.73049393,-73.9957214
115,295,40.71406667,-73.99293911
415,296,40.71413089,-73.9970468
408,297,40.734232,-73.986923
239,298,40.68683208,-73.9796772
91,300,40.728145,-73.990214
629,301,40.72217444,-73.98368779
11617,302,40.72082834,-73.97793172
84,303,40.72362738,-73.99949601
494,304,40.70463334,-74.01361706
24,305,40.76095756,-73.96724467
246,306,40.70823502,-74.00530063
574,307,40.71427487,-73.98990025
200,308,40.71307916,-73.99851193
9,309,40.7149787,-74.013012
709,310,40.68926942,-73.98912867
122,311,40.7172274,-73.98802084
30,312,40.722055,-73.989111
380,313,40.69610226,-73.96751037
467,314,40.69383,-73.990539
702,315,40.70355377,-74.00670227
716,316,40.70955958,-74.00653609
751,317,40.72453734,-73.98185424
9932,318,40.75320159,-73.9779874
960,319,40.711066,-74.009447
445,320,40.717571,-74.005549
